transcript	description
AK353866	Trp-Asp_(WD)_repeats_circular_profile.
AK364020	Bulb-type_lectin_domain_profile.
AK360655	Peptide_methionine_sulfoxide_reductase
AK375409	UDP-glucoronosyl_and_UDP-glucosyl_transferase
AK357997	S-locus_glycoprotein_family
AK250506.1	K-box_domain_profile.
AK374877	ABC_transporter_integral_membrane_type-1_fused_domain_profile.
MLOC_65170.1	Leucine_Rich_Repeat
AK370341	Phosphatidylinositol-specific_phospholipase_C,_X_domain
MLOC_64528.1	Clp_amino_terminal_domain
MLOC_58630.2	Kinesin_motor_domain
AK375044	Glycine_cleavage_T-protein_C-terminal_barrel_domain
AK376525	Response_regulatory_domain_profile.
MLOC_64750.5	Major_facilitator_superfamily_(MFS)_profile.
AK370269	Syntaxin_/_epimorphin_family_signature.
MLOC_44750.2	Cytochrome_P450
AK358994	short_chain_dehydrogenase
AK355256|AK366284|AK358949	DJ-1/PfpI_family
AK365668	Kinesin_motor_domain_profile.
AK356653	CRAL-TRIO_lipid_binding_domain_profile.
AK373370	P-type_cation-transporting_ATPase_superfamily_signature
MLOC_34992.1	small_GTPase_Rab1_family_profile.
MLOC_15661.3	Elongation_factor_G_C-terminus
AK370108	Thioredoxin_family_active_site.
MLOC_36000.1	MuDR_family_transposase
AK367900	Serine/threonine_phosphatase_family_signature
MLOC_71534.5	Leucine_Rich_Repeat
MLOC_21373.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_5567.1	Adenylate_kinase_signature.
AK376121	Carbamoyl-phosphate_synthase_L_chain,_ATP_binding_domain
AK375648	FAD_binding_domain_in_molybdopterin_dehydrogenase
AK357772|AK357704|AK368377	Thioredoxin_domain_profile.
AK375107	Plastocyanin-like_domain
AK361845|AK357502	Tim17/Tim22/Tim23_family
MLOC_58725.1	GATA-type_zinc_finger_domain_profile.
MLOC_71651.1	AAA-protein_family_signature.
MLOC_74852.1	Glycosyl_hydrolases_family_5_signature.
AK371344	TPR_repeat_profile.
AK373555	Fe(2+)_2-oxoglutarate_dioxygenase_domain_profile.
MLOC_74987.1	Thioredoxin
MLOC_3462.1	Isocitrate_lyase_family
AK354763	WD_domain,_G-beta_repeat
AK377074	Cyclin,_C-terminal_domain
MLOC_22177.2	Plant_protein_of_unknown_function
MLOC_15149.1	Domain_of_unknown_function_DUF221
AK367579	\'Homeobox\'_domain_profile.
AK354271	PPR_repeat
AK360673	Ribosomal_protein_L7/L12_C-terminal_domain
MLOC_73105.1	Ras_family
AK360776	Pentatricopeptide_(PPR)_repeat_profile.
AK360229	Domain_of_unknown_function_(DUF588)
MLOC_54104.1	ABC_transporter_transmembrane_region
MLOC_58519.5	ATP-binding_cassette,_ABC_transporter-type_domain_profile.
MLOC_69381.1	Protein_kinase_domain
AK370949	Serine_carboxypeptidases,_serine_active_site.
MLOC_58904.1	ADF-H_domain_profile.
MLOC_62249.2	Sec1_family
AK375321	F-box_domain_profile.
AK366962	tRNA_synthetases_class_II_(A)
AK371393	AAA-protein_family_signature.
MLOC_3822.1	Plant_phospholipid_transfer_protein_signature
MLOC_5120.2	RNase_H
AK368024	WD_domain,_G-beta_repeat
MLOC_12223.1	AP2_domain
AK375817	14-3-3_protein
AK372499|AK363304	Ankyrin_repeat
MLOC_7085.1	Plant_peroxidase_signature
AK355890	Peroxidases_active_site_signature.
MLOC_51377.1	Ferroportin1_(FPN1)
AK365033	KH_domain
AK249482.1	Zinc_finger_DHHC-type_profile.
MLOC_22907.1	Plastocyanin-like_domain
MLOC_72674.1	Armadillo/plakoglobin_ARM_repeat_profile.
MLOC_10643.2	NB-ARC_domain
AK376662	Heat_shock_hsp70_proteins_family_signature_2.
MLOC_15173.1	Ubiquitin-conjugating_enzymes_family_profile.
MLOC_37717.2	NB-ARC_domain
MLOC_70542.1	Serine/Threonine_protein_kinases_active-site_signature.
AK356528	RIO1/ZK632.3/MJ0444_family_signature.
AK354389	Protein_kinase_domain
AK359620	Protein_kinase_domain
AK372769	Glutaredoxin_domain_profile.
AK358395	EF-hand_calcium-binding_domain_profile.
MLOC_17327.1	Acetyltransferase_(GNAT)_family
AK366986	PAP2_superfamily
MLOC_14874.1	Eukaryotic-type_carbonic_anhydrase
MLOC_16086.1	Flavoprotein_pyridine_nucleotide_cytochrome_reductase_signature
MLOC_11485.1	Jacalin-like_lectin_domain
AK369684	Regulator_of_chromosome_condensation_(RCC1)_signature_2.
AK251508.1	Protein_prenyltransferase_alpha_subunit_repeat
MLOC_11806.1	Protein_of_unknown_function_(DUF791)
AK374356	Divergent_CCT_motif
AK363211	Glycosyl_hydrolases_family_17
MLOC_59079.9	Regulator_of_chromosome_condensation_(RCC1)_repeat
MLOC_58142.1	TCP_family_transcription_factor
MLOC_1443.2	NB-ARC_domain
MLOC_67885.6	Polygalacturonase_active_site.
MLOC_66585.2	Rhodanese_signature_1.
AK372118	Leucine-rich_repeat_profile.
MLOC_36655.1	Coatomer_WD_associated_region
AK362359	Protein_tyrosine_kinase
AK374344	Amidases_signature.
MLOC_40038.5	DEAD/DEAH_box_helicase
MLOC_60937.2	Thioredoxin
AK355551	BT1_family
AK248453.1	Dipeptidyl_peptidase_IV_(DPP_IV)_N-terminal_region
MLOC_80136.1	Transcription_factor_Pcc1
MLOC_34511.1	PA_domain
AK376403	Helicase_conserved_C-terminal_domain
MLOC_57276.1	Heavy-metal-associated_domain
AK373732	Glutamine_amidotransferase_type_2_domain_profile.
AK364936	Glycosyl_hydrolases_family_9_active_sites_signature_1.
MLOC_59262.2	K-box_region
AK372511	Trp-Asp_(WD)_repeats_signature.
AK361775	P450_superfamily_signature
MLOC_57758.1	Diacylglycerol_kinase_catalytic_domain
AK372027	Dihydrodipicolinate_synthase_signature_2.
MLOC_11678.1	\'Homeobox\'_domain_profile.
AK370389	Peptide_deformylase_signature
MLOC_64575.1	Gamma-thionins_family_signature.
MLOC_13798.2	Protein_of_unknown_function,_DUF604
AK248169.1	Tubulin_C-terminal_domain
AK356307	ANTH_domain
AK365088	O-methyltransferase
AK376324	\'Homeobox\'_domain_profile.
AK371224	Protein_kinases_ATP-binding_region_signature.
AK368836	Protein_of_unknown_function,_DUF538
AK252037.1	Phosphoglycerate_mutase_family
AK368357|AK357851	Thiopurine_S-methyltransferase_(TPMT)
AK371067	Helicase_conserved_C-terminal_domain
AK360584	90kDa_heat_shock_protein_signature
MLOC_6620.3	MutS_domain_V
MLOC_1120.1	Cystatin_domain
AK360395	AAA-protein_family_signature.
MLOC_68272.3	MULE_transposase_domain
AK357284	UDP-glycosyltransferases_signature.
AK376257	Papain_family_cysteine_protease
MLOC_12968.1	Legume_lectin_domain
MLOC_70573.1	Serine_carboxypeptidase
MLOC_75245.1	EF-hand_calcium-binding_domain_profile.
AK359232	DnaJ_domain_signature
AK369368	Zinc_finger_RING-type_profile.
AK357304	F-box_domain
AK356294	Conserved_hypothetical_ATP_binding_protein
MLOC_52707.1	Zinc_finger_RING-type_profile.
MLOC_21642.1	Anticodon-binding_domain
AK358661	Chitin_recognition_or_binding_domain_signature.
MLOC_59849.1	Zinc_finger_C2H2_type_domain_signature.
AK356611	Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.
AK371543	Leucine-rich_repeat_profile.
MLOC_80491.1	3-Oxoacyl-[acyl-carrier-protein_(ACP)]_synthase_III_C_terminal
MLOC_65553.1	PPR_repeat
MLOC_68137.1	Protein_kinase_domain
MLOC_58921.1	Transferase_family
AK360186	Lecithin:cholesterol_acyltransferase
MLOC_64857.1	AMP-binding_enzyme
MLOC_22204.1	Cathepsin_propeptide_inhibitor_domain_(I29)
MLOC_6315.1	Helix-loop-helix_DNA-binding_domain
AK375003	LSM_domain
AK366596	Myb-like_domain_profile.
AK375751	Trp-Asp_(WD)_repeats_circular_profile.
AK376680	Zinc_finger_C2H2_type_domain_signature.
MLOC_71301.2	Protein_kinase_domain
MLOC_2075.1	Calreticulin_family_signature_1.
AK374626	Domain_of_unknown_function_(DUF303)
MLOC_44491.1	Serine/Threonine_protein_kinases_active-site_signature.
MLOC_70751.2	Fatty_acid_hydroxylase_superfamily
AK365079	Cellulose_synthase
AK366571	Cellulose_synthase
MLOC_46083.1	Sec63_Brl_domain
MLOC_60693.1	Auxin_responsive_protein
MLOC_69707.1	Protein_of_unknown_function_(DUF1005)
MLOC_2193.1	MATH_domain
AK370420	Dirigent-like_protein
AK251519.1|AK373609|AK251714.1|AK356852|AK353900|AK376784|AK369873	Core_histone_H2A/H2B/H3/H4
MLOC_4724.2	DDT_domain
MLOC_21852.1	BED_zinc_finger
AK371221	Ligand-gated_ion_channel
AK374788	JmjC_domain
AK376249	OPT_oligopeptide_transporter_protein
AK363153	Ankyrin_repeat
MLOC_32526.1	\'Cold-shock\'_DNA-binding_domain
AK355023|AK358251	EF-hand_calcium-binding_domain_profile.
MLOC_10647.1	Zinc_finger_TFIIB-type_profile.
MLOC_65859.1	D-isomer_specific_2-hydroxyacid_dehydrogenase,_catalytic_domain
AK360183	Inositol-pentakisphosphate_2-kinase
MLOC_76271.3	Zinc_finger_CCHC-type_profile.
AK372434	GDSL-like_Lipase/Acylhydrolase
AK369542	Protein_kinase_domain
AK355843	GTP-binding_elongation_factor_signature
AK354044|AK358633	Thioredoxin_family_signature
AK360638	Putative_serine_esterase_(DUF676)
AK369955	Major_Facilitator_Superfamily
MLOC_70419.2	F-box_domain
MLOC_55574.1	Serine/Threonine_protein_kinases_active-site_signature.
AK359792	Beta-ketoacyl_synthase,_N-terminal_domain
MLOC_38476.1	Protease_inhibitor/seed_storage/LTP_family
AK374173	Trp-Asp_(WD)_repeats_circular_profile.
AK371354	Peptidase_inhibitor_I9
AK364217	F-box_domain_profile.
MLOC_56677.1	Glycosyl_transferase_family_8
MLOC_62116.1	Zinc_finger_C-x8-C-x5-C-x3-H_type_(and_similar)
AK251065.1	WD_domain,_G-beta_repeat
AK366488	Protein_kinase_domain_profile.
AK369041	WW/rsp5/WWP_domain_profile.
MLOC_61089.1	Molybdopterin_guanine_dinucleotide_synthesis_protein_B
AK356001	Serine/Threonine_protein_kinases_active-site_signature.
AK373902	B3_DNA_binding_domain
AK367522	Zinc_finger,_C3HC4_type_(RING_finger)
MLOC_80666.1	Transferase_family
MLOC_65248.1	Alpha/beta_hydrolase_fold_signature
MLOC_55247.2	SOH1
AK371972	PAN-like_domain
AK365316	UvrD-like_DNA_helicase_C-terminal_domain_profile.
MLOC_69905.3	Glycosyl_hydrolase_family_1
AK365754	ABC_transporter_transmembrane_region
AK367654	UDP-glycosyltransferases_signature.
AK250553.1	Carbon-nitrogen_hydrolase
AK251354.1	Fe(2+)_2-oxoglutarate_dioxygenase_domain_profile.
MLOC_11605.2	Disease_resistance_protein_signature
AK363248	D-isomer_specific_2-hydroxyacid_dehydrogenase,_catalytic_domain
AK372810	WW_domain
MLOC_54996.1	Ras_family
MLOC_36807.1	TPR_repeat_region_circular_profile.
MLOC_58876.3	Protein_of_unknown_function_DUF82
MLOC_1081.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
AK368448|AK367231	EF-hand_calcium-binding_domain_profile.
MLOC_11933.1	Bacterial_extracellular_solute-binding_proteins,_family_3
MLOC_61107.1	Clp_amino_terminal_domain
MLOC_16731.1	EF_hand
AK356030	Pyridine_nucleotide-disulphide_oxidoreductase
MLOC_49351.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_70111.1	Leucine_Rich_Repeat
MLOC_65936.3	ABC1_family
MLOC_53047.1	CS_domain
MLOC_61356.2	XPG_I-region
MLOC_73481.1	Leucine_Rich_Repeat
MLOC_68758.3	SPFH_domain_/_Band_7_family
MLOC_34557.1	haloacid_dehalogenase-like_hydrolase
MLOC_58790.1	Glutaredoxin_domain_profile.
MLOC_53588.1	EamA-like_transporter_family
AK355188|AK249155.1	Chromosome_condensation_regulator_RCC1_signature
MLOC_40474.1	Plant_protein_of_unknown_function
AK354138	Amino_acid_permease
MLOC_74586.1	Plant_protein_of_unknown_function_(DUF946)
AK365715	Protein_of_unknown_function,_DUF538
AK365804	Glutathione_S-transferase,_N-terminal_domain
AK376903	POT_family
MLOC_10431.1	Soluble_glutathione_S-transferase_C-terminal_domain_profile.
AK248360.1	Domain_of_unknown_function_(DUF3452)
AK369709	PRP8_domain_IV_core
AK253133.1	FAD_binding_domain_in_molybdopterin_dehydrogenase
AK362242	Soluble_glutathione_S-transferase_N-terminal_domain_profile.
MLOC_74633.2	Sodium:sulfate_symporter_transmembrane_region
AK368341	AP2/ERF_domain_profile.
AK248209.1	Pyridoxal-dependent_decarboxylase_conserved_domain
AK369859	Serine/Threonine_protein_kinases_active-site_signature.
MLOC_36423.5	Helix-loop-helix_DNA-binding_domain
AK356988	Protein_of_unknown_function_(DUF632)
AK368069	Tetratricopeptide_repeat
MLOC_15141.1	Cytokinin_dehydrogenase_1,_FAD_and_cytokinin_binding
MLOC_69817.1	Iron/manganese_superoxide_dismutases,_C-terminal_domain
MLOC_59236.1	GDSL-like_Lipase/Acylhydrolase
MLOC_36727.1	Protein_tyrosine_kinase
MLOC_43889.3	Nucleoside_diphosphate_kinase
MLOC_19049.1	Family_of_unknown_function_(DUF716)
AK252291.1|AK368903	ADP-ribosylation_factor_family
MLOC_69186.1	Ulp1_protease_family,_C-terminal_catalytic_domain
MLOC_17002.1	Chlorophyll_A-B_binding_protein
AK252584.1	Pyruvate_kinase_family_signature
MLOC_64804.2	Actin
AK358598	Isopenicillin_N_synthase_signature
AK361982	Gamma-glutamyl_hydrolase_domain_profile.
MLOC_81908.1	LOB_domain_profile.
MLOC_54265.1	F-box_domain
AK360851	Cys/Met_metabolism_enzymes_pyridoxal-phosphate_attachment_site.
AK369386	Macro_domain
AK362135	NB-ARC_domain
AK357300	Mitochondrial_carrier_protein_signature
AK354713	Hexokinase_family_signature
MLOC_59439.8	B3_DNA-binding_domain_profile.
AK248767.1	UDP-glucoronosyl_and_UDP-glucosyl_transferase
MLOC_68151.2	B3_DNA_binding_domain
AK372212	Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.
AK363932	PH_domain_profile.
MLOC_19838.1	Myosin_N-terminal_SH3-like_domain
AK357093	Pentatricopeptide_(PPR)_repeat_profile.
AK364019	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_66307.1	Major_facilitator_superfamily_(MFS)_profile.
MLOC_65972.1	Legume_lectin_domain
MLOC_52387.1	Response_regulator_receiver_domain
MLOC_53532.1	mTERF
AK367207	Protein_phosphatase_2C
AK362812	Mitochondrial_ribosomal_death-associated_protein_3
MLOC_73333.1	D-mannose_binding_lectin
AK369952	BAAT_/_Acyl-CoA_thioester_hydrolase_C_terminal
MLOC_75780.1	MA3_domain
MLOC_52434.1	Calcium-binding_EGF_domain
AK375930	Flavin-containing_monooxygenase_(FMO)_signature
MLOC_34761.1	Calcineurin-like_phosphoesterase
AK374103	Protein_kinases_ATP-binding_region_signature.
AK368556	Bacterial_extracellular_solute-binding_proteins,_family_3
MLOC_4861.1	PPR_repeat
MLOC_68143.1	Zinc_finger_PHD-type_signature.
AK363860	Coprogen_oxidase_signature
AK355803	Cyclic_nucleotide-binding_domain
AK356991	PAN-like_domain
MLOC_62243.3	DNA_replication_factor_Dna2
AK248770.1	XS_domain
AK374520	ATPase_family_associated_with_various_cellular_activities_(AAA)
AK371078	Cytochrome_b5-like_Heme/Steroid_binding_domain
AK356519	Animal_haem_peroxidase
AK373512	QLQ
MLOC_58573.1	Pentatricopeptide_(PPR)_repeat_profile.
MLOC_46003.1	Protease_inhibitor/seed_storage/LTP_family
MLOC_7938.1	Oleosins_signature.
MLOC_36364.1	Protein_kinase_domain
AK364104	Arabidopsis_proteins_of_unknown_function
MLOC_13484.2	Protein_kinase_C_terminal_domain
MLOC_72878.2	Methyltransferase_domain
MLOC_54308.1	Zinc_finger_C2H2_type_domain_profile.
AK367302	C-terminal_domain_of_1-Cys_peroxiredoxin
MLOC_60647.1	Pyridoxal-phosphate_dependent_enzyme
MLOC_66265.2	Armadillo/beta-catenin-like_repeat
MLOC_14895.1	Cytochrome_P450
AK355248	D-arabinono-1,4-lactone_oxidase
MLOC_3915.1	Helix-loop-helix_DNA-binding_domain
MLOC_70877.1	Cyclins_signature.
AK369890	RNA_polymerase_II_transcription_elongation_factor
AK366247	Ferredoxin_reductase-type_FAD_binding_domain_profile.
MLOC_63282.1	Subtilase_family
MLOC_56085.3	Ribulose-phosphate_3_epimerase_family
MLOC_66841.1	Myc-type,_\'helix-loop-helix\'_domain_profile.
MLOC_64157.2	K-box_region
MLOC_13375.1	Homeobox_domain
AK372111	Multicopper_oxidase
MLOC_76181.1	Gamma-thionin_family
MLOC_76813.1	GDA1/CD39_family_of_nucleoside_phosphatases_signature.
MLOC_4568.8	Glycosyl_hydrolase_family_47
MLOC_4529.1	Pentatricopeptide_(PPR)_repeat_profile.
AK375765	Trp-Asp_(WD)_repeats_circular_profile.
MLOC_51469.1	Myb-like_DNA-binding_domain
AK361947	Zinc_finger_RanBP2_type_profile.
AK370580	Zinc_finger,_C3HC4_type_(RING_finger)
AK357808	Leucine_Rich_Repeat
AK364262	Protein_kinase_domain_profile.
AK366409	Protein_phosphatase_2C
MLOC_4579.1	2OG-Fe(II)_oxygenase_superfamily
MLOC_38685.1	Ribosomal_protein_S8_signature.
AK371052	Pentatricopeptide_(PPR)_repeat_profile.
AK366360	Leucine_rich_repeat_N-terminal_domain
AK353926	Eukaryotic_thiol_(cysteine)_proteases_cysteine_active_site.
MLOC_17595.1	MutS_domain_III
AK360022|AK362819	Ribosomal_protein_L18e/L15
AK354002	Pectinacetylesterase
AK363979|AK366272	TAZ_zinc_finger
MLOC_53232.1	Endonuclease/Exonuclease/phosphatase_family
AK371367|MLOC_7688.1	60s_Acidic_ribosomal_protein
AK250344.1	K-box_domain_profile.
MLOC_66817.1	Ribosomal_protein_S12E_family_signature
MLOC_36972.2	Pectinesterase_signature_1.
MLOC_15950.1	Matrixin
MLOC_81826.1	Protein_kinase_domain
AK353636	TLC_domain
AK371824	F-box_domain_profile.
MLOC_60702.4	DnaJ_domain_signature
MLOC_51556.2	RNA_recognition_motif._(a.k.a._RRM,_RBD,_or_RNP_domain)
MLOC_34735.1	Proteasome_A-type_subunit_profile.
MLOC_76783.1	NB-ARC_domain
MLOC_17465.1	Trp-Asp_(WD)_repeats_profile.
MLOC_17331.6	Initiator_tRNA_phosphoribosyl_transferase
MLOC_64743.1	Protein_kinase_domain
MLOC_62245.3	Protein_kinase_domain
MLOC_16693.3	Rare_lipoprotein_A_(RlpA)-like_double-psi_beta-barrel
MLOC_40997.1	ATP_synthase_alpha/beta_family,_beta-barrel_domain
AK362148	Serine/Threonine_protein_kinases_active-site_signature.
MLOC_65794.1	Late_embryogenesis_abundant_(LEA)_group_1
AK354802	Zinc_finger_RING-type_profile.
AK361199	Calcineurin-like_phosphoesterase
MLOC_51940.1	Leucine_rich_repeat_N-terminal_domain
AK358499	UBX_domain_profile.
MLOC_74167.3	EamA-like_transporter_family
AK365022	Protein_of_unknown_function_(DUF630)
AK365283	PAS_repeat_profile.
AK369517|AK360351	YgbB_family
MLOC_63578.2	PPPDE_putative_peptidase_domain
AK249261.1|MLOC_44602.1	Vacuolar_ATP_synthase_16kDa_subunit_signature
AK363123	Cytochrome_P450
AK369464	Leucine_Rich_Repeat
MLOC_70664.2	Plant_lipoxygenase_signature
AK375521	Tyrosyl-DNA_phosphodiesterase
AK364485	OTU-like_cysteine_protease
AK373450	Plant_invertase/pectin_methylesterase_inhibitor
AK364443	AP2/ERF_domain_profile.
AK354462	Glutamine_amidotransferase_type_1_domain_profile.
AK365193	Glutamine_amidotransferase_superfamily_signature
MLOC_67243.1	Lipoxygenase_iron-binding_catalytic_domain_profile.
MLOC_72530.1	PAN-like_domain
AK355235	PTR2_family_proton/oligopeptide_symporters_signature_1.
AK366034	Protein_kinase_domain_profile.
MLOC_55950.1	Protein_tyrosine_kinase
AK370611	ABC_transporter_transmembrane_region
AK371682	DEAD-box_RNA_helicase_Q_motif_profile.
MLOC_60235.1	Histone_H2A_signature
MLOC_66858.1	Legume_lectin_domain
MLOC_68688.1	emp24/gp25L/p24_family/GOLD
AK374425	Response_regulatory_domain_profile.
MLOC_61904.6	BAH_domain
MLOC_61177.1	Spc97_/_Spc98_family
AK376429	EF-hand_calcium-binding_domain_profile.
AK375624	SEP_domain
MLOC_72428.4	Histone-like_transcription_factor_(CBF/NF-Y)_and_archaeal_histone
AK362537	Zinc_finger_DHHC-type_profile.
AK365848	Mov34/MPN/PAD-1_family
AK362038	AP2/ERF_domain_profile.
MLOC_70662.1	Zinc_finger_C2H2_type_domain_profile.
MLOC_5274.3	Scavenger_mRNA_decapping_enzyme_C-term_binding
MLOC_51649.3	mttA/Hcf106_family
MLOC_5438.1	ABC_transporter_transmembrane_region
MLOC_56874.1	Myb-like_DNA-binding_domain
MLOC_69397.2	Myb-type_HTH_DNA-binding_domain_profile.
MLOC_65609.1	Auxin_responsive_protein
MLOC_64008.1	bZIP_transcription_factor
AK361731	Sigma-70_region_2
AK252550.1	ATPase_family_associated_with_various_cellular_activities_(AAA)
AK364118	RmlD_substrate_binding_domain
MLOC_58569.1	CAF1_family_ribonuclease
AK372606	FAD_binding_domain
AK365409	Glycosyl_hydrolase_family_47
AK358158	DHHC_zinc_finger_domain
MLOC_11390.1	WD_domain,_G-beta_repeat
AK358415	Pentatricopeptide_(PPR)_repeat_profile.
AK370046	Serine/Threonine_protein_kinases_active-site_signature.
MLOC_74854.1	Phosphatidylethanolamine-binding_protein
AK371588	RNase_P_subunit_p30
AK365001	small_GTPase_Arf_family_profile.
MLOC_66007.1	Transferase_family
MLOC_60217.2	Expansin,_Cellulose-binding-like_domain_profile.
MLOC_52117.1	Protein_tyrosine_kinase
AK375351|AK362855	Zinc_finger_C2H2_type_domain_profile.
AK248248.1	Chlorophyll_A-B_binding_protein
AK373089	Coprinus_cinereus_mating-type_protein
MLOC_76878.1	Glycosyl_transferase_family_2
MLOC_68142.1	CRAL/TRIO_domain
MLOC_4757.1	Pentatricopeptide_(PPR)_repeat_profile.
AK375011	Protein_of_unknown_function_(DUF3522)
MLOC_69349.1	Protein_of_unknown_function,_DUF623
MLOC_21604.4	Natural_resistance-associated_macrophage_protein
MLOC_12939.2	Protein_phosphatase_2C
MLOC_75808.1	FAR1_DNA-binding_domain
AK249353.1	Core_histone_H2A/H2B/H3/H4
AK251264.1	BAH_domain_profile.
AK376068|AK376722	PB1_domain
AK355736	Helicase_conserved_C-terminal_domain
AK363124	Serine/Threonine_protein_kinases_active-site_signature.
AK357897	2OG-Fe(II)_oxygenase_superfamily
MLOC_16843.1	short_chain_dehydrogenase
AK364095	Tub_family_signature_1.
AK370834	IQ_calmodulin-binding_motif
AK366083	Mandelate_racemase_/_muconate_lactonizing_enzyme,_N-terminal_domain
AK364831	Domain_of_unknown_function_(DUF3437)
MLOC_18435.1	B3_DNA_binding_domain
MLOC_75524.1	No_apical_meristem_(NAM)_protein
AK363069	Myosin_head_(motor_domain)
AK363488	FAD_binding_domain
MLOC_33623.1	Reverse_transcriptase_(RNA-dependent_DNA_polymerase)
MLOC_37741.1	eRF1_domain_2
MLOC_59802.2	Haem_peroxidase_superfamily_signature
AK359823	Leucine_Rich_Repeat
MLOC_69708.1	Eukaryotic_and_viral_aspartyl_proteases_active_site.
AK356512	pfkB_family_carbohydrate_kinase
AK376361	Ubiquitin-interacting_motif_(UIM)_repeat_profile.
MLOC_69356.1	F-box_domain
AK251496.1	Abscisic_acid_G-protein_coupled_receptor
MLOC_74587.1	Beta-tubulin_signature
MLOC_37301.1	Peptidase_dimerisation_domain
AK367633	Protein_of_unknown_function_(DUF568)
AK377082|AK358380|AK357855	HSF-type_DNA-binding
MLOC_60266.1	PAN_domain
AK375219	2Fe-2S_ferredoxin-type_iron-sulfur_binding_domain_profile.
MLOC_5897.1	NF-YB/HAP3_subunit_signature.
MLOC_75846.4	Cation_transporter/ATPase,_N-terminus
MLOC_73241.1	ZF-HD_protein_dimerisation_region
AK354063	Homeobox_associated_leucine_zipper
AK369039	Sodium/potassium-transporting_ATPase_signature
MLOC_19924.1|AK368424|MLOC_58454.1	EF_hand
AK376289	Protein_kinases_ATP-binding_region_signature.
AK364772	2Fe-2S_ferredoxin-type_iron-sulfur_binding_domain_profile.
AK356438|AK370816|MLOC_58932.2	Ubiquitin-conjugating_enzyme
MLOC_37038.2	Zinc_finger_RanBP2-type_signature.
MLOC_67283.1	Amidase
AK248677.1	DSHCT_(NUC185)_domain
MLOC_18632.1	DnaJ_domain_signature
