transcript	domain
MLOC_16711.1	PS50222
MLOC_16711.1	IPR001125
MLOC_16711.1	PR00450
MLOC_16711.1	PTHR23056
MLOC_16711.1	PTHR23056:SF3
MLOC_16711.1	IPR002048
MLOC_16711.1	SM00054
AK354845	PTHR10739
AK354845	PTHR10739:SF14
AK354845	IPR004820
AK354845	PF01467
AK374570	IPR001471
AK374570	PS51032
AK374570	PR00367
AK374570	PF00847
AK374570	SM00380
AK252710.1	IPR006461
AK252710.1	PF04749
MLOC_57232.2	IPR005541
MLOC_57232.2	PF03791
MLOC_57232.2	IPR001356
MLOC_57232.2	PF00046
MLOC_57232.2	IPR005540
MLOC_57232.2	PF03790
MLOC_57232.2	IPR005539
MLOC_57232.2	PF03789
MLOC_3156.1	IPR000073
MLOC_3156.1	PF00561
MLOC_13110.1	IPR006121
MLOC_13110.1	PS50846
MLOC_13110.1	PF00403
MLOC_13110.1	PTHR22814
MLOC_13110.1	PTHR22814:SF14
AK374275	PTHR23024:SF10
AK374275	PTHR23024
AK374275	IPR013094
AK374275	PF07859
AK355139	PTHR24089
AK355139	IPR002113
AK355139	PR00927
AK355139	IPR018108
AK355139	PS50920
AK355139	IPR002067
AK355139	PR00926
AK355139	PTHR24089:SF35
AK355139	PF00153
MLOC_17529.1	PS51257
MLOC_17529.1	IPR004263
MLOC_17529.1	PF03016
MLOC_17529.1	PTHR11062
MLOC_17529.1	PTHR11062:SF27
AK353866	IPR017986
AK353866	PS50294
AK353866	IPR019781
AK353866	PF00400
AK353866	PTHR22841:SF4
AK353866	IPR019782
AK353866	PS50082
AK353866	PTHR22841
AK353866	IPR001680
AK353866	SM00320
AK364020	PTHR24420:SF831
AK364020	IPR001480
AK364020	PS50927
AK364020	IPR000719
AK364020	PS50011
AK364020	SM00108
AK364020	PF01453
AK364020	IPR006210
AK364020	SM00181
AK364020	PTHR24420
AK364020	IPR008271
AK364020	PS00108
AK364020	IPR017442
AK364020	PF00069
AK364020	IPR017441
AK364020	PS00107
AK360655	PTHR10173:SF6
AK360655	IPR002569
AK360655	PF01625
AK360655	PTHR10173
AK375409	IPR002213
AK375409	PF00201
AK375409	PTHR11926:SF15
AK375409	PS00375
AK375409	PTHR11926
AK357997	IPR000858
AK357997	PF00954
AK357997	IPR001480
AK357997	PF01453
AK357997	IPR013227
AK357997	PF08276
AK250506.1	IPR002100
AK250506.1	SM00432
AK250506.1	PTHR11945
AK250506.1	PTHR11945:SF75
AK250506.1	IPR002487
AK250506.1	PS51297
AK250506.1	PR00404
AK250506.1	PF01486
AK250506.1	PS50066
AK250506.1	PF00319
AK374877	IPR017940
AK374877	PS50929
AK374877	IPR001140
AK374877	PF00664
AK374877	PTHR24223:SF21
AK374877	PTHR24223
MLOC_65170.1	IPR001611
MLOC_65170.1	PF00560
MLOC_65170.1	IPR013210
MLOC_65170.1	PF08263
MLOC_65170.1	IPR017442
MLOC_65170.1	PF00069
AK370341	IPR000909
AK370341	PF00388
AK370341	IPR000008
AK370341	PF00168
AK370341	IPR018029
AK370341	PS50004
AK370341	IPR001711
AK370341	PF00387
AK370341	PS50007
AK370341	PTHR10336:SF35
AK370341	IPR001192
AK370341	PR00390
AK370341	SM00148
AK370341	SM00239
AK370341	PTHR10336
AK370341	PS50008
AK370341	SM00149
MLOC_64528.1	IPR004176
MLOC_64528.1	PF02861
MLOC_64528.1	IPR019489
MLOC_64528.1	PF10431
MLOC_64528.1	IPR003959
MLOC_64528.1	PF00004
MLOC_64528.1	IPR013093
MLOC_64528.1	PF07724
MLOC_58630.2	IPR001752
MLOC_58630.2	PF00225
AK375044	IPR013977
AK375044	PF08669
AK375044	PTHR22602
AK375044	IPR006222
AK375044	PF01571
AK376525	IPR001789
AK376525	PS50110
AK376525	PF00072
AK376525	SM00448
AK376525	PTHR26402
MLOC_64750.5	PTHR24003
MLOC_64750.5	IPR020846
MLOC_64750.5	PS50850
MLOC_64750.5	IPR011701
MLOC_64750.5	PF07690
MLOC_64750.5	PTHR24003:SF22
AK370269	IPR006012
AK370269	PS00914
AK370269	IPR000727
AK370269	PF05739
AK370269	PTHR19957:SF3
AK370269	SM00397
AK370269	PTHR19957
AK370269	IPR006011
AK370269	PF00804
AK370269	PS50192
MLOC_44750.2	IPR001128
MLOC_44750.2	PF00067
MLOC_44750.2	IPR017972
MLOC_44750.2	PS00086
MLOC_44750.2	PTHR25943:SF143
MLOC_44750.2	PTHR25943
MLOC_44750.2	PR00385
MLOC_44750.2	IPR002401
MLOC_44750.2	PR00463
AK358994	IPR002198
AK358994	PF00106
AK358994	PTHR24316
AK358994	IPR002347
AK358994	PR00081
AK358994	PTHR24316:SF38
AK358994	PR00080
AK358994	IPR020904
AK358994	PS00061
AK355256|AK366284|AK358949	PTHR11019:SF4
AK355256|AK366284|AK358949	PTHR11019
AK355256|AK366284|AK358949	IPR002818
AK355256|AK366284|AK358949	PF01965
AK365668	IPR001752
AK365668	PS50067
AK365668	PTHR24115:SF171
AK365668	IPR021720
AK365668	PF11721
AK365668	PF00225
AK365668	PR00380
AK365668	IPR019821
AK365668	PS00411
AK365668	SM00129
AK365668	PTHR24115
AK356653	PTHR23324
AK356653	IPR001251
AK356653	PS50191
AK356653	IPR008273
AK356653	PF03765
AK356653	PTHR23324:SF4
AK356653	IPR009038
AK356653	PS50866
AK356653	SM00516
AK356653	PF00650
AK373370	IPR001757
AK373370	PR00119
AK373370	IPR004014
AK373370	SM00831
AK373370	PTHR24093:SF61
AK373370	IPR005834
AK373370	PF00702
AK373370	PTHR24093
AK373370	IPR018303
AK373370	PS00154
AK373370	PF00690
AK373370	IPR000695
AK373370	PR00120
AK373370	IPR008250
AK373370	PF00122
MLOC_34992.1	PS51419
MLOC_34992.1	IPR001806
MLOC_34992.1	PF00071
MLOC_34992.1	PTHR24073:SF213
MLOC_34992.1	PR00449
MLOC_34992.1	IPR003579
MLOC_34992.1	SM00175
MLOC_34992.1	PTHR24073
MLOC_15661.3	IPR000640
MLOC_15661.3	PF00679
MLOC_15661.3	IPR000795
MLOC_15661.3	PF00009
MLOC_15661.3	IPR005517
MLOC_15661.3	PF03764
MLOC_15661.3	IPR004161
MLOC_15661.3	PF03144
AK370108	IPR017937
AK370108	PS00194
AK370108	PTHR18929:SF32
AK370108	PTHR18929
AK370108	IPR013766
AK370108	PF00085
AK370108	IPR012336
AK370108	PS51352
AK370108	IPR005746
AK370108	PR00421
MLOC_36000.1	IPR004332
MLOC_36000.1	PF03108
AK367900	PTHR11668
AK367900	PTHR11668:SF95
AK367900	IPR006186
AK367900	SM00156
AK367900	PR00114
AK367900	IPR004843
AK367900	PF00149
AK367900	PS00125
MLOC_71534.5	IPR001611
MLOC_71534.5	PF00560
MLOC_71534.5	IPR017442
MLOC_71534.5	PF00069
MLOC_21373.1	IPR000477
MLOC_21373.1	PF00078
MLOC_5567.1	IPR000850
MLOC_5567.1	PS00113
MLOC_5567.1	PF00406
MLOC_5567.1	IPR007862
MLOC_5567.1	PF05191
MLOC_5567.1	PTHR23359
MLOC_5567.1	PR00094
AK376121	IPR005479
AK376121	PF02786
AK376121	IPR011761
AK376121	PS50975
AK376121	PS00867
AK376121	IPR000089
AK376121	PS50968
AK376121	IPR005482
AK376121	PF02785
AK376121	IPR005481
AK376121	PF00289
AK376121	IPR000022
AK376121	PF01039
AK376121	IPR001882
AK376121	PS00188
AK376121	IPR011762
AK376121	PS50980
AK376121	PF00364
AK376121	SM00878
AK376121	IPR011764
AK376121	PS50979
AK376121	IPR011763
AK376121	PS50989
AK376121	PTHR18866
AK376121	PTHR18866:SF6
AK376121	IPR013537
AK376121	PF08326
AK375648	IPR002346
AK375648	PF00941
AK375648	IPR008274
AK375648	PF02738
AK375648	IPR002888
AK375648	PF01799
AK375648	PTHR11908
AK375648	PTHR11908:SF15
AK375648	IPR000674
AK375648	PF01315
AK375648	IPR016166
AK375648	PS51387
AK375648	IPR005107
AK375648	PF03450
AK357772|AK357704|AK368377	PTHR10438:SF103
AK357772|AK357704|AK368377	IPR005746
AK357772|AK357704|AK368377	PTHR10438
AK357772|AK357704|AK368377	IPR012336
AK357772|AK357704|AK368377	PS51352
AK357772|AK357704|AK368377	IPR013766
AK357772|AK357704|AK368377	PF00085
AK375107	IPR003245
AK375107	PF02298
AK375107	PS51485
AK375107	IPR000923
AK375107	PS00196
AK375107	PD003122
AK361845|AK357502	IPR003397
AK361845|AK357502	PF02466
AK361845|AK357502	IPR021129
AK361845|AK357502	PF00536
MLOC_58725.1	IPR000679
MLOC_58725.1	PS50114
MLOC_58725.1	PS00344
MLOC_58725.1	SM00401
MLOC_58725.1	PTHR10071
MLOC_58725.1	PF00320
MLOC_58725.1	PTHR10071:SF113
MLOC_71651.1	PTHR23070:SF1
MLOC_71651.1	PTHR23070
MLOC_71651.1	IPR003960
MLOC_71651.1	PS00674
MLOC_71651.1	IPR003959
MLOC_71651.1	PF00004
MLOC_71651.1	IPR003593
MLOC_71651.1	SM00382
MLOC_74852.1	IPR018087
MLOC_74852.1	PS00659
MLOC_74852.1	IPR001547
MLOC_74852.1	PF00150
AK371344	PTHR22904
AK371344	IPR019734
AK371344	PS50005
AK371344	IPR001440
AK371344	PF00515
AK371344	IPR013026
AK371344	PS50293
AK371344	SM00028
AK371344	IPR013105
AK371344	PF07719
AK371344	IPR013766
AK371344	PF00085
AK373555	IPR005123
AK373555	PS51471
AK373555	PTHR10209
AK373555	PTHR10209:SF55
AK373555	PF03171
MLOC_74987.1	IPR013766
MLOC_74987.1	PF00085
MLOC_74987.1	IPR005746
MLOC_74987.1	PTHR10438
MLOC_74987.1	PTHR10438:SF71
MLOC_74987.1	IPR012336
MLOC_74987.1	PS51352
MLOC_3462.1	IPR000918
MLOC_3462.1	PF00463
AK354763	IPR019781
AK354763	PF00400
AK377074	IPR004367
AK377074	PF02984
AK377074	IPR006671
AK377074	PF00134
MLOC_22177.2	IPR004158
MLOC_22177.2	PF03140
MLOC_15149.1	PTHR13018
MLOC_15149.1	IPR003864
MLOC_15149.1	PF02714
MLOC_15149.1	PTHR13018:SF5
AK367579	PTHR11850:SF14
AK367579	PTHR11850
AK367579	IPR001356
AK367579	PS50071
AK367579	IPR006563
AK367579	PF07526
AK367579	SM00389
AK367579	PF00046
AK367579	SM00574
AK354271	PTHR24015
AK354271	IPR002885
AK354271	PF01535
AK354271	PS51375
AK360673	IPR013823
AK360673	PF00542
MLOC_73105.1	IPR003579
MLOC_73105.1	SM00175
MLOC_73105.1	IPR001806
MLOC_73105.1	PF00071
MLOC_73105.1	PS51419
MLOC_73105.1	PR00449
MLOC_73105.1	PTHR24073
MLOC_73105.1	PTHR24073:SF213
AK360776	PTHR24015
AK360776	IPR002885
AK360776	PS51375
AK360776	PF01535
AK360229	PTHR11615:SF57
AK360229	IPR006702
AK360229	PF04535
AK360229	PTHR11615
MLOC_54104.1	IPR001140
MLOC_54104.1	PF00664
MLOC_54104.1	IPR003439
MLOC_54104.1	PF00005
MLOC_58519.5	IPR003439
MLOC_58519.5	PS50893
MLOC_58519.5	IPR017940
MLOC_58519.5	PS50929
MLOC_58519.5	PTHR24223:SF203
MLOC_58519.5	IPR001140
MLOC_58519.5	PF00664
MLOC_58519.5	IPR003593
MLOC_58519.5	SM00382
MLOC_58519.5	PF00005
MLOC_58519.5	PTHR24223
MLOC_58519.5	IPR017871
MLOC_58519.5	PS00211
MLOC_69381.1	IPR017442
MLOC_69381.1	PF00069
MLOC_69381.1	IPR004041
MLOC_69381.1	PF03822
AK370949	IPR001563
AK370949	PTHR11802
AK370949	IPR018202
AK370949	PS00131
AK370949	PS00560
AK370949	PF00450
AK370949	PR00724
AK370949	PTHR11802:SF8
MLOC_58904.1	IPR002108
MLOC_58904.1	PS51263
MLOC_58904.1	PF00241
MLOC_58904.1	SM00102
MLOC_58904.1	PTHR11913
MLOC_62249.2	IPR001619
MLOC_62249.2	PF00995
MLOC_62249.2	PTHR11679:SF2
MLOC_62249.2	PTHR11679
AK375321	PTHR22904
AK375321	IPR001810
AK375321	PS50181
AK375321	PF00646
AK375321	SM00256
AK375321	PTHR22904:SF115
AK366962	PTHR11777:SF2
AK366962	IPR018164
AK366962	PF01411
AK366962	IPR012947
AK366962	PF07973
AK366962	IPR018165
AK366962	PS50860
AK366962	PTHR11777
AK366962	SM00863
AK371393	IPR003960
AK371393	PS00674
AK371393	PTHR23074
AK371393	PS51257
AK371393	IPR003593
AK371393	SM00382
AK371393	IPR003959
AK371393	PF00004
AK371393	PTHR23074:SF20
MLOC_3822.1	IPR003612
MLOC_3822.1	SM00499
MLOC_3822.1	IPR000528
MLOC_3822.1	PR00382
MLOC_3822.1	PS00597
MLOC_3822.1	PF00234
MLOC_5120.2	IPR002156
MLOC_5120.2	PF00075
AK368024	IPR001680
AK368024	SM00320
AK368024	IPR019781
AK368024	PF00400
AK368024	IPR020472
AK368024	PR00320
AK368024	IPR019782
AK368024	PS50082
AK368024	PTHR14221
AK368024	IPR019775
AK368024	PS00678
AK368024	IPR017986
AK368024	PS50294
MLOC_12223.1	IPR001471
MLOC_12223.1	PF00847
AK375817	IPR000308
AK375817	PTHR18860
AK375817	IPR023410
AK375817	SM00101
AK375817	PF00244
AK375817	PR00305
AK372499|AK363304	IPR002110
AK372499|AK363304	PF00023
AK372499|AK363304	IPR020683
AK372499|AK363304	PS50297
AK372499|AK363304	IPR000210
AK372499|AK363304	PS50097
AK372499|AK363304	PS50088
AK372499|AK363304	PF11900
AK372499|AK363304	IPR021094
AK372499|AK363304	PF12313
AK372499|AK363304	SM00248
AK372499|AK363304	SM00225
AK372499|AK363304	IPR013069
AK372499|AK363304	PF00651
MLOC_7085.1	IPR000823
MLOC_7085.1	PR00461
MLOC_7085.1	IPR002016
MLOC_7085.1	PS50873
MLOC_7085.1	IPR019794
MLOC_7085.1	PS00436
MLOC_7085.1	PF00141
MLOC_7085.1	IPR019793
MLOC_7085.1	PS00435
MLOC_7085.1	PR00458
MLOC_7085.1	PS51257
AK355890	IPR019794
AK355890	PS00436
AK355890	IPR002016
AK355890	PS50873
AK355890	PR00458
AK355890	PS51257
AK355890	IPR000823
AK355890	PR00461
AK355890	IPR019793
AK355890	PS00435
AK355890	PF00141
MLOC_51377.1	PTHR11660:SF2
MLOC_51377.1	IPR009716
MLOC_51377.1	PF06963
MLOC_51377.1	PTHR11660
AK365033	PTHR11208:SF28
AK365033	PTHR11208
AK365033	IPR018111
AK365033	PF00013
AK365033	IPR004087
AK365033	SM00322
AK249482.1	PTHR22883
AK249482.1	IPR001594
AK249482.1	PS50216
AK249482.1	PF01529
MLOC_22907.1	IPR003245
MLOC_22907.1	PF02298
MLOC_22907.1	IPR000923
MLOC_22907.1	PS00196
MLOC_22907.1	PS51485
MLOC_22907.1	PD003122
MLOC_72674.1	IPR003613
MLOC_72674.1	SM00504
MLOC_72674.1	PTHR23315
MLOC_72674.1	PTHR23315:SF40
MLOC_72674.1	IPR000225
MLOC_72674.1	PS50176
MLOC_72674.1	PF04564
MLOC_72674.1	SM00185
MLOC_10643.2	IPR002182
MLOC_10643.2	PF00931
AK376662	IPR018181
AK376662	PS00329
AK376662	IPR001023
AK376662	PR00301
AK376662	IPR013126
AK376662	PF00012
AK376662	PS01036
AK376662	PS00297
AK376662	PTHR19375
MLOC_15173.1	IPR000608
MLOC_15173.1	PS50127
MLOC_15173.1	SM00212
MLOC_15173.1	PF00179
MLOC_15173.1	PTHR24067
MLOC_15173.1	PTHR24067:SF30
MLOC_15173.1	IPR023313
MLOC_15173.1	PS00183
MLOC_37717.2	IPR002182
MLOC_37717.2	PF00931
MLOC_37717.2	IPR001611
MLOC_37717.2	PF00560
MLOC_70542.1	PTHR24420
MLOC_70542.1	IPR008271
MLOC_70542.1	PS00108
MLOC_70542.1	PTHR24420:SF884
MLOC_70542.1	IPR000719
MLOC_70542.1	PS50011
MLOC_70542.1	IPR013210
MLOC_70542.1	PF08263
MLOC_70542.1	IPR017441
MLOC_70542.1	PS00107
MLOC_70542.1	IPR017442
MLOC_70542.1	PF00069
MLOC_70542.1	IPR001611
MLOC_70542.1	PF00560
AK356528	PTHR10593
AK356528	IPR000687
AK356528	SM00090
AK356528	IPR018935
AK356528	PS01245
AK356528	IPR018934
AK356528	PF01163
AK356528	PTHR10593:SF5
AK356528	IPR000719
AK356528	PS50011
AK354389	PTHR24420:SF937
AK354389	IPR017442
AK354389	PF00069
AK354389	IPR000719
AK354389	PS50011
AK354389	IPR008271
AK354389	PS00108
AK354389	IPR017441
AK354389	PS00107
AK354389	PTHR24420
AK359620	IPR017442
AK359620	PF00069
AK359620	PTHR24343
AK359620	IPR017441
AK359620	PS00107
AK359620	IPR008271
AK359620	PS00108
AK359620	PTHR24343:SF45
AK359620	IPR004041
AK359620	PF03822
AK359620	IPR002290
AK359620	SM00220
AK359620	IPR018451
AK359620	PS50816
AK359620	IPR000719
AK359620	PS50011
AK372769	PTHR10168:SF44
AK372769	IPR002109
AK372769	PS51354
AK372769	PTHR10168
AK372769	PF00462
AK358395	IPR018249
AK358395	PS50222
AK358395	IPR018247
AK358395	PS00018
AK358395	IPR018248
AK358395	PF00036
AK358395	IPR000719
AK358395	PS50011
AK358395	IPR002048
AK358395	SM00054
AK358395	IPR017441
AK358395	PS00107
AK358395	IPR008271
AK358395	PS00108
AK358395	PTHR24349
AK358395	IPR017442
AK358395	PF00069
AK358395	IPR002290
AK358395	SM00220
MLOC_17327.1	IPR000182
MLOC_17327.1	PF00583
AK366986	IPR000326
AK366986	PF01569
AK366986	PTHR14969:SF4
AK366986	SM00014
AK366986	PTHR14969
MLOC_14874.1	IPR001148
MLOC_14874.1	PF00194
MLOC_14874.1	PTHR18952:SF2
MLOC_14874.1	IPR023561
MLOC_14874.1	PTHR18952
MLOC_14874.1	PS51144
MLOC_14874.1	IPR018338
MLOC_14874.1	PS00162
MLOC_16086.1	IPR001709
MLOC_16086.1	PR00371
MLOC_16086.1	PTHR19370
MLOC_16086.1	IPR017927
MLOC_16086.1	PS51384
